Vector Space Model,http://dbpedia.org/resource/Vector_space
Decision Tree,http://dbpedia.org/resource/Decision_tree
State Space Search,http://dbpedia.org/resource/State_space
Knowledge Graph,http://dbpedia.org/resource/knowledge-graphs
Intelligent Agent,http://dbpedia.org/resource/Intelligent_agent
Artificial Intelligence,http://dbpedia.org/resource/Artificial_intelligence
Natural Language Processing,http://dbpedia.org/resource/Natural_language_processing
Convolutional Neural Network,http://dbpedia.org/resource/Convolutional_neural_network
Naive Bayes Classifier,http://dbpedia.org/resource/Naive_Bayes_classifier
Recurrent Neural Network,http://dbpedia.org/resource/Recurrent_neural_network
Artificial Neural Network,http://dbpedia.org/resource/Artificial_neural_network
Heuristic,http://dbpedia.org/resource/Heuristic
Vocabulary,http://dbpedia.org/resource/Vocabulary
Knowledge Base,http://dbpedia.org/resource/Knowledge_base
Recommender System,http://dbpedia.org/resource/Recommender_system
Intelligent System,http://dbpedia.org/resource/Intelligent_system
Machine Learning,http://dbpedia.org/resource/Machine_learning
SPARQL,http://dbpedia.org/resource/SPARQL
